["ང་"] ["ཁོང་"] ["ཅན་"] ["དུ་"]	2	+	[]
["བཟང་པོ་"] ["ཞེས་"] ["བྱ་བ"] ["།"]	2	+	[]
["ཏོཾ་བྷི་ཧེ་རུ་ཀ་"] ["ཞེས་"] ["བྱ་བ"] ["ར་"]	2	+	[]
["ཁྱོད་"] ["ཁོང་"] ["ཅན་"] ["བཏང་"]	2	+	[]
["སོགས་"] ["འགྲོ་"] ["ཀུན་"] ["སྨིན་"]	2	+	[]
["གུས་"] ["ཕྱག་"] ["འཚལ"] ["།།"]	2	+	[]
["ལ་"] ["ཕྱག་"] ["འཚལ་"] ["ལོ"]	2	+	[]
["ལྕགས་ཀྱུ་"] ["འོད་ཟེར་"] ["ཅན"] ["།།"]	2	+	[]
["གཞན་གཅེས་"] ["འགྲོ་"] ["ཀུན་"] ["བརྩེ་བ"]	2	+	[]
["ས་"] ["འགྲོ་"] ["ཀུན་"] ["སངས་རྒྱས་"]	2	+	[]
["ནཱ་རོ་པ་"] ["ཞེས་"] ["བྱ་བ"] ["འི་"]	2	+	[]
["ལ་"] ["ཕྱག་"] ["འཚལ་"] ["བསྟོད"]	2	+	[]
["ས་"] ["ཕྱག་"] ["འཚལ་"] ["བསྟོད"]	2	+	[]
